"status","contents__totalCount","contents__items__type","contents__items__id","contents__items__name","contents__items__shareUrl","contents__items__durationMs","contents__items__durationText","contents__items__discNumber","contents__items__trackNumber","contents__items__playCount","contents__items__artists__type","contents__items__artists__id","contents__items__artists__name","contents__items__artists__shareUrl","contents__items__album__type","contents__items__album__id","contents__items__album__name","contents__items__album__shareUrl","contents__items__album__artists__type","contents__items__album__artists__id","contents__items__album__artists__name","contents__items__album__artists__shareUrl","contents__items__album__cover__url","contents__items__album__cover__width","contents__items__album__cover__height","contents__items__playlist__addedAt","contents__items__playlist__addedBy"
"","","track","1kuGVB7EU95pJObxwvfwKS","vampire","https://open.spotify.com/track/1kuGVB7EU95pJObxwvfwKS","219724","03:39","1","3","432858794","artist","1McMsnEElThX1knmY4oliG","Olivia Rodrigo","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG","album","1xJHno7SmdVtZAtXbdbDZp","GUTS","https://open.spotify.com/album/1xJHno7SmdVtZAtXbdbDZp","artist","1McMsnEElThX1knmY4oliG","Olivia Rodrigo","https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG","https://i.scdn.co/image/ab67616d00001e02e85259a1cae29a8d91f2093d","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851e85259a1cae29a8d91f2093d","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d","640","640","",""
"","","track","63ui2w3QJBp8xx0c1MJB2Z","UN PREVIEW","https://open.spotify.com/track/63ui2w3QJBp8xx0c1MJB2Z","165582","02:45","1","1","29712924","artist","4q3ewBCX7sLwd24euuV69X","Bad Bunny","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","album","72GhGik5fsSeFkgpjsllVj","UN PREVIEW","https://open.spotify.com/album/72GhGik5fsSeFkgpjsllVj","artist","4q3ewBCX7sLwd24euuV69X","Bad Bunny","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","https://i.scdn.co/image/ab67616d00001e02c1156c6f6dedd4b9bdf89428","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851c1156c6f6dedd4b9bdf89428","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428","640","640","",""
"","","track","4rXLjWdF2ZZpXCVTfWcshS","fukumean","https://open.spotify.com/track/4rXLjWdF2ZZpXCVTfWcshS","125040","02:05","1","6","341014134","artist","2hlmm7s2ICUX0LVIhVFlZQ","Gunna","https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ","album","5qmZefgh78fN3jsyPPlvuw","a Gift & a Curse","https://open.spotify.com/album/5qmZefgh78fN3jsyPPlvuw","artist","2hlmm7s2ICUX0LVIhVFlZQ","Gunna","https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ","https://i.scdn.co/image/ab67616d00001e02017d5e26552345c4b1575b6c","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d00004851017d5e26552345c4b1575b6c","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c","640","640","",""
"","","track","5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n","183956","03:03","1","12","1483444237","artist","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH","album","78bpIziExqiI9qztvNFlQu","AM","https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu","artist","7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH","https://i.scdn.co/image/ab67616d00001e024ae1c4c5c45aabe565499163","300","300","2023-10-03T10:49:24Z","null"
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d000048514ae1c4c5c45aabe565499163","64","64","",""
"","","","","","","","","","","","","","","","","","","","","","","","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","640","640","",""
